X:VCD, X:Glc, X:Lac, X:Titer, W:Feed
6.9074,12.229,161.61,1223.5,0
5.1344,6.5121,170.23,1312,0
3.712,2.3415,176.56,1369.3,0
2.4774,8.6447e-06,181.01,1385.4,0
1.5464,3.6839e-13,183.86,1376.3,0
0.27717,21.649,0,0,0
0.85953,21.155,0.74343,0.038077,0
2.4946,19.672,2.9727,0.41889,14.487
6.2412,30.177,8.9577,4.2118,14.487
11.942,36.016,21.949,31.257,14.487
16.708,36.564,42.887,126.55,14.487
18.326,33.995,68.507,305.93,14.487
17.224,31.281,94.349,532.55,14.487
14.739,30.383,117.45,760.78,0
11.902,17.622,136.64,961.61,0
9.2108,7.552,151.81,1121.3,0
6.6859,0.11649,163.27,1220.4,0
4.2126,-5.5639e-17,170.99,1213.6,0
2.6432,-6.3237e-17,175.84,1206.6,0
1.6547,-6.7666e-17,178.88,1199.6,0
0.26438,25.806,0,0,0
0.82724,25.332,0.71281,0.027839,0
2.4283,23.895,2.8721,0.33783,16.407
6.149,36.397,8.7395,3.7637,16.407
11.869,44.237,21.607,29.625,16.407
16.63,46.766,42.448,123.03,16.407
18.153,46.227,67.895,300.02,16.407
16.934,45.647,93.403,523.17,16.407
14.344,46.99,116.01,746.54,0
11.545,34.596,134.63,942.35,0
9.0219,24.769,149.39,1101.7,0
6.8829,17.186,160.8,1224.7,0
5.1522,11.461,169.41,1315.3,0
3.794,7.2182,175.81,1378.8,0
2.7472,4.1288,180.49,1420.3,0
0.44298,51.163,0,0,0
1.402,50.369,1.2049,0.031595,19.062
3.9935,67.023,4.8201,0.73316,19.062
8.7863,80.08,13.835,9.9302,19.062
12.999,88.463,29.863,58.005,19.062
13.396,94.54,49.352,163.05,19.062
10.837,101.84,67.007,290.61,19.062
7.5797,112.08,80.247,401.12,19.062
4.8832,125.23,89.121,480.6,19.062
3.01,140.57,94.71,532.16,19.062
1.8117,157.36,98.113,563.62,19.062
1.0761,175.07,100.15,581.98,19.062
0.63449,193.33,101.35,592.21,0
0.37247,192.85,102.06,597.54,0
0.2181,192.58,102.48,599.94,0
0.90459,66.491,0,0,0
2.8004,64.865,2.4413,0.13126,0
7.1413,60.316,9.2697,3.7561,8.2605
13.15,58.845,23.878,35.813,8.2605
17.387,52.208,46.244,144.32,8.2605
18.355,43.086,72.345,334.81,8.2605
16.911,34.302,97.945,564.73,8.2605
14.322,27.548,120.5,790.25,8.2605
11.496,23.447,139.08,986.33,8.2605
8.9118,21.964,153.73,1144.6,8.2605
6.7529,22.759,164.95,1266.4,8.2605
5.0394,25.405,173.39,1356.9,0
3.721,21.238,179.66,1421.8,0
2.7263,18.175,184.26,1466.5,0
1.9858,15.937,187.63,1495.9,0
0.20651,54.327,0,0,0
0.66314,53.957,0.56512,0.0071364,15.832
2.0202,68.612,2.3324,0.12054,15.832
5.2737,81.126,7.3122,2.0208,15.832
10.029,89.628,18.314,19.208,15.832
12.943,94.158,35.276,82.499,15.832
12.277,97.641,53.81,192.59,15.832
9.5572,102.92,69.649,311.57,15.832
6.5985,111.03,81.237,409.55,15.832
4.246,121.72,88.953,478.7,15.832
2.6268,134.31,93.82,523.33,0
1.5911,132.32,96.798,550.57,0
0.95269,131.13,98.592,566.52,0
0.5666,130.42,99.662,575.43,0
0.33566,129.99,100.3,580.07,0
0.97844,22.139,0,0,0
2.9268,20.421,2.5876,0.31106,5.6309
7.2699,21.381,9.6091,5.1721,5.6309
13.26,17.189,24.381,41.107,5.6309
17.39,7.8852,46.877,155.25,5.6309
15.693,0.029706,71.854,274.05,5.6309
10.95,0.05672,90.876,285.66,5.6309
7.5364,0.15169,104.03,302.51,5.6309
5.3165,0.63418,113.15,333.86,5.6309
3.9885,2.0428,119.78,379.84,0
2.7813,4.4318e-11,124.68,398.95,0
1.8089,2.7429e-13,127.94,398.19,0
1.1735,2.8407e-13,130.06,397.43,0
0.76013,2.9024e-13,131.43,396.67,0
0.49185,2.9372e-13,132.31,395.92,0
0.84827,33.287,0,0,0
2.5976,31.775,2.2718,0.16911,0
6.6847,27.545,8.627,3.6501,0
12.674,18.313,22.506,33.781,0
16.944,3.8565,44.307,139.32,19.987
17.533,7.2592,69.411,316.02,19.987
16.157,11.047,93.846,525.45,19.987
13.794,16.668,115.47,734.17,19.987
11.201,24.688,133.47,920.52,0
8.7738,15.147,147.81,1073.4,0
6.6733,7.7945,158.89,1189.5,0
4.9077,2.3196,167.2,1268.6,0
3.2407,3.8094e-13,173.06,1285.6,0
2.0316,3.5828e-13,176.79,1277.7,0
1.2714,3.6437e-13,179.13,1269.9,0
0.3353,31.996,0,0,0
1.0538,31.392,0.90712,0.030653,0
3.0581,29.57,3.6447,0.4905,0
7.3567,24.776,10.849,6.3639,0
13.05,14.995,25.562,44.939,5.9626
16.808,6.4197,47.475,158.95,5.9626
14.722,0.036264,71.255,260.79,5.9626
10.327,0.073462,89.139,274.35,5.9626
7.1904,0.22495,101.61,295.54,0
4.7873,-1.8001e-17,110.13,295.89,0
3.1571,-3.0796e-17,115.77,295.47,0
2.0715,-3.8452e-17,119.48,295.05,0
1.3549,-4.3172e-17,121.91,294.63,0
0.88436,-4.6137e-17,123.5,294.22,0
0.57651,-4.7979e-17,124.53,293.8,0
0.94913,74.693,0,0,0
2.9299,72.988,2.5595,0.14044,0
7.3427,68.27,9.6421,4.0823,0
13.253,58.388,24.476,37.712,14.993
17.227,58.477,46.847,147.86,14.993
17.661,56.486,72.346,334.65,14.993
15.74,55.335,96.582,552.01,14.993
12.851,56.581,117.22,757.83,14.993
9.804,60.715,133.52,929.64,14.993
6.948,67.696,145.55,1059.4,0
4.7888,62.146,153.88,1149,0
3.3762,58.275,159.69,1209.9,0
2.4075,55.529,163.82,1250.9,0
1.7269,53.565,166.76,1278,0
1.2426,52.154,168.88,1295.2,0
0.83383,10.268,0,0,0
2.3746,8.8488,2.1401,0.52301,0
5.6555,5.1662,7.7044,5.6578,9.3807
10.396,6.9711,19.156,32.213,9.3807
14.4,4.362,37.295,112.27,9.3807
14.271,0.14584,58.722,227.77,9.3807
10.691,0.32901,76.568,268.63,9.3807
8.3506,1.348,90.132,339.99,9.3807
6.8625,3.6299,101.03,426.51,9.3807
5.6986,7.057,110.04,508.84,9.3807
4.7018,11.484,117.52,581.32,0
3.8145,7.4258,123.64,641.47,0
3.0173,4.1828,128.54,687.99,0
2.3037,1.6801,132.37,720.42,0
1.6164,0.019467,135.19,733.33,0
0.47741,39.213,0,0,0
1.4984,38.354,1.2925,0.046505,5.0223
4.2212,40.821,5.1305,0.96528,5.0223
9.4235,39.475,14.695,12.134,5.0223
15.196,32.593,32.577,71.835,5.0223
18.328,21.269,57.141,219.12,5.0223
18.075,8.6413,83.711,432.42,5.0223
14.413,0.028333,107.72,586.19,5.0223
9.5585,0.059091,124.76,595.24,5.0223
6.3222,0.18231,136.03,609.88,0
4.0657,-4.2297e-17,143.4,608.65,0
2.5999,-5.0939e-17,148.12,606.88,0
1.6577,-5.6066e-17,151.13,605.12,0
1.055,-5.9185e-17,153.05,603.37,0
0.6707,-6.1049e-17,154.28,601.62,0
0.30116,19.36,0,0,0
0.92714,18.825,0.80451,0.05016,0
2.6579,17.237,3.1933,0.53311,17.198
6.546,30.23,9.5137,4.9386,17.198
12.291,38.45,23,34.681,17.198
16.886,41.439,44.34,135.03,17.198
18.25,41.529,70.032,318.14,17.198
16.95,41.694,95.612,544.85,17.198
14.338,43.834,118.23,769.96,17.198
11.386,48.696,136.75,966.2,17.198
8.5612,56.346,151.08,1122.7,0
6.2793,49.291,161.67,1238.7,0
4.6219,44.105,169.46,1322.6,0
3.3959,40.291,175.19,1382,0
2.488,37.492,179.39,1422.9,0
0.77893,14.443,0,0,0
2.293,13.09,2.0368,0.31515,0
5.7393,9.429,7.5523,4.0624,0
10.347,1.7144,19.252,33.056,11.633
12.93,2.3042,36.191,112.91,11.633
13.291,1.4804,55.374,226.64,11.633
11.792,1.4362,73.545,342.1,11.633
10.066,2.8574,89.26,458.31,11.633
8.5242,5.69,102.63,573.77,11.633
7.1093,9.8789,113.87,679.89,11.633
5.827,15.339,123.16,772.08,0
4.6808,10.325,130.71,847.86,0
3.6759,6.3506,136.71,906.52,0
2.815,3.279,141.37,948.96,0
2.069,1.0011,144.88,974.84,0
0.11666,29.705,0,0,0
0.37012,29.496,0.31661,0.0073199,5.541
1.1434,34.378,1.3076,0.057521,5.541
3.2633,37.96,4.2494,0.64399,5.541
7.7031,38.437,11.855,7.3688,5.541
13.468,33.814,27.123,48.755,5.541
17.422,24.305,49.737,168.6,5.541
18.081,12.599,75.679,364.1,5.541
15.99,1.7335,100.52,577.28,5.541
10.909,0.055188,119.86,610.47,0
7.0942,2.8606e-23,132.64,608.78,0
4.5696,1.0213e-22,140.91,607.01,0
2.9271,-1.5485e-24,146.22,605.25,0
1.8687,-1.2345e-23,149.62,603.49,0
1.1905,-9.922e-24,151.79,601.75,0
0.10047,28.895,0,0,0
0.31872,28.714,0.27261,0.0063425,0
0.98537,28.146,1.1263,0.050169,0
2.8301,26.454,3.6685,0.52943,7.138
6.8582,29.145,10.35,5.6775,7.138
12.524,27.024,24.264,39.153,7.138
16.844,19.869,45.749,144.83,7.138
17.917,10.114,71.176,328.16,7.138
15.915,0.97269,95.915,529.87,7.138
10.878,0.10267,115.1,559.2,0
7.1085,-5.3571e-23,127.87,557.95,0
4.598,-2.7453e-23,136.17,556.46,0
2.9567,-7.5478e-24,141.53,554.97,0
1.8945,-1.9502e-24,144.96,553.5,0
1.2113,-1.2507e-24,147.16,552.03,0
0.43546,32.637,0,0,0
1.3621,31.857,1.176,0.047127,6.2697
3.8642,35.798,4.6746,0.82137,6.2697
8.8256,36.169,13.534,10.163,6.2697
14.657,31.11,30.552,63.093,6.2697
18.095,21.412,54.549,201.29,6.2697
18.143,10.101,81.008,409.51,6.2697
15.386,0.31924,105.53,611.16,6.2697
10.272,0.084026,123.79,626.55,6.2697
6.8723,0.32902,135.95,650.84,0
4.4234,-4.1013e-17,143.97,650.19,0
2.8269,-5.0487e-17,149.1,648.16,0
1.8009,-5.6069e-17,152.38,646.15,0
1.1451,-5.9448e-17,154.47,644.16,0
0.72718,-6.1467e-17,155.79,642.17,0
0.91597,79.323,0,0,0
2.8316,77.684,2.472,0.12579,18.228
7.0221,91.365,9.295,3.6485,18.228
11.816,100.43,23.045,32.477,18.228
13.374,106.24,41.687,116.19,18.228
11.483,112.35,59.869,235.56,18.228
8.3743,121.03,74.192,348.82,18.228
5.5693,132.62,84.151,435.15,18.228
3.5182,146.55,90.601,493.54,18.228
2.1592,162.1,94.617,530.36,0
1.3035,160.48,97.061,552.52,0
0.77946,159.5,98.529,565.31,0
0.46347,158.92,99.405,572.33,0
0.27467,158.57,99.924,575.85,0
0.16247,158.36,100.23,577.28,0
0.61191,41.88,0,0,0
1.9101,40.784,1.6537,0.072156,10.53
5.2184,48.104,6.4727,1.6402,10.53
10.9,51.029,17.892,18.827,10.53
16.244,48.363,37.705,96.159,10.53
18.494,41.96,63.132,262.05,10.53
17.776,34.916,89.526,486,10.53
15.425,29.457,113.55,719.38,10.53
12.564,26.568,133.71,929.58,10.53
9.8299,26.394,149.8,1103.2,10.53
7.49,28.662,162.21,1238.9,0
5.6081,22.423,171.59,1340.4,0
4.1476,17.784,178.57,1413.3,0
3.0384,14.37,183.7,1463.8,0
2.2094,11.881,187.45,1497.2,0
0.93397,55.326,0,0,0
2.8825,53.651,2.5158,0.15404,0
7.3401,48.974,9.5376,4.1472,0
13.579,38.96,24.575,38.767,16.721
18.075,40.235,47.769,154.9,16.721
18.995,38.914,74.866,356.93,16.721
17.292,38.094,101.21,597.47,16.721
14.437,39.561,124.12,830.03,16.721
11.395,43.907,142.71,1029.5,16.721
8.6002,51.069,157.06,1187.5,16.721
6.1519,60.742,167.64,1304.2,0
4.284,55.799,175.06,1384.1,0
3.021,52.334,180.27,1437.2,0
2.1422,49.883,183.95,1471.7,0
1.5228,48.143,186.56,1492.9,0
0.31419,40.004,0,0,0
0.99556,39.44,0.85396,0.021111,11.065
2.9318,48.769,3.4606,0.3599,11.065
7.1954,55.181,10.447,5.19,11.065
12.95,56.579,24.96,39.741,11.065
16.948,53.059,46.857,148.34,11.065
17.773,47.24,72.209,333.91,11.065
16.312,41.833,96.944,555.57,11.065
13.802,38.419,118.69,772.57,0
11.117,26.486,136.62,961.51,0
8.6599,17.041,150.82,1113.9,0
6.5685,9.7912,161.73,1229.5,0
4.8566,4.3763,169.92,1310.9,0
3.426,0.52054,175.86,1355.8,0
2.1585,3.5791e-13,179.82,1349.8,0
0.32109,16.61,0,0,0
0.97831,16.043,0.8527,0.068109,0
2.7643,14.382,3.3532,0.6747,0
6.5347,10.104,9.796,6.5702,7.0876
11.637,8.529,22.858,40.073,7.0876
15.089,2.6297,42.527,136.73,7.0876
12.349,0.072954,62.916,190.56,7.0876
9.0128,0.19053,78.177,214.71,7.0876
6.7533,0.75314,89.396,258,7.0876
5.3924,2.2797,98.065,318.51,7.0876
4.4481,4.7354,105.12,379.28,7.0876
3.6915,7.957,110.96,433.85,0
3.02,4.7649,115.79,479.41,0
2.3889,2.21,119.68,513.73,0
1.7653,0.31135,122.68,533.16,0
0.28755,52.475,0,0,0
0.91846,51.953,0.78509,0.013352,0
2.7308,50.342,3.2031,0.28178,0
6.8186,45.97,9.7679,4.4391,13.476
12.65,50.139,23.743,35.801,13.476
17.019,49.148,45.465,140.14,13.476
18.112,45.526,71.14,325.49,13.476
16.702,42.167,96.42,550.94,13.476
14.123,40.817,118.69,773.03,13.476
11.296,42.111,136.98,966.73,0
8.7551,32.536,151.36,1123.1,0
6.6589,25.186,162.41,1243.3,0
